"x","y","status","PA1","PA2","PA3","PA4"
484555.9233003,2510305.1328018,NA,FALSE,FALSE,TRUE,FALSE
2860555.9233003,2493805.1328018,NA,TRUE,FALSE,FALSE,FALSE
765055.9233003,2477305.1328018,NA,FALSE,FALSE,FALSE,TRUE
3091555.9233003,2477305.1328018,NA,FALSE,FALSE,FALSE,TRUE
4032055.9233003,2460805.1328018,NA,FALSE,FALSE,FALSE,TRUE
2877055.9233003,2427805.1328018,NA,FALSE,FALSE,TRUE,FALSE
4345555.9233003,2427805.1328018,NA,TRUE,FALSE,FALSE,FALSE
7744555.9233003,2427805.1328018,NA,FALSE,FALSE,TRUE,FALSE
583555.9233003,2378305.1328018,NA,FALSE,FALSE,TRUE,FALSE
3570055.9233003,2312305.1328018,NA,FALSE,TRUE,FALSE,FALSE
468055.9233003,2295805.1328018,NA,FALSE,FALSE,TRUE,FALSE
4131055.9233003,2279305.1328018,NA,TRUE,FALSE,FALSE,FALSE
748555.9233003,2229805.1328018,NA,FALSE,TRUE,FALSE,FALSE
4626055.9233003,2213305.1328018,NA,FALSE,FALSE,TRUE,FALSE
-8771944.0766997,2163805.1328018,NA,TRUE,FALSE,FALSE,FALSE
3487555.9233003,2163805.1328018,NA,FALSE,TRUE,FALSE,FALSE
3174055.9233003,2114305.1328018,NA,TRUE,FALSE,FALSE,FALSE
2761555.9233003,2081305.1328018,NA,TRUE,FALSE,FALSE,FALSE
3075055.9233003,2081305.1328018,NA,TRUE,FALSE,FALSE,FALSE
864055.9233003,2064805.1328018,NA,FALSE,FALSE,FALSE,TRUE
2712055.9233003,2048305.1328018,NA,FALSE,TRUE,FALSE,FALSE
4494055.9233003,2031805.1328018,NA,TRUE,FALSE,FALSE,FALSE
5005555.9233003,1998805.1328018,NA,TRUE,FALSE,FALSE,FALSE
4923055.9233003,1932805.1328018,NA,FALSE,TRUE,FALSE,FALSE
682555.9233003,1899805.1328018,NA,TRUE,FALSE,FALSE,FALSE
4906555.9233003,1899805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-9085444.0766997,1883305.1328018,NA,FALSE,FALSE,TRUE,FALSE
3850555.9233003,1883305.1328018,NA,FALSE,FALSE,TRUE,FALSE
-1247944.0766997,1850305.1328018,NA,FALSE,FALSE,FALSE,TRUE
7579555.9233003,1850305.1328018,NA,FALSE,FALSE,TRUE,FALSE
55555.9233002998,1833805.1328018,NA,TRUE,FALSE,FALSE,FALSE
4659055.9233003,1817305.1328018,NA,FALSE,FALSE,FALSE,TRUE
3339055.9233003,1800805.1328018,NA,FALSE,FALSE,TRUE,FALSE
600055.9233003,1784305.1328018,NA,FALSE,FALSE,FALSE,TRUE
996055.9233003,1784305.1328018,NA,FALSE,TRUE,FALSE,FALSE
2893555.9233003,1784305.1328018,NA,FALSE,FALSE,FALSE,TRUE
2497555.9233003,1734805.1328018,NA,FALSE,FALSE,FALSE,TRUE
303055.9233003,1718305.1328018,NA,FALSE,TRUE,FALSE,FALSE
7447555.9233003,1718305.1328018,NA,FALSE,FALSE,TRUE,FALSE
3471055.9233003,1685305.1328018,NA,FALSE,FALSE,FALSE,TRUE
-8705944.0766997,1668805.1328018,NA,FALSE,FALSE,TRUE,FALSE
1342555.9233003,1602805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-8375944.0766997,1569805.1328018,NA,FALSE,TRUE,FALSE,FALSE
1012555.9233003,1470805.1328018,NA,TRUE,FALSE,FALSE,FALSE
7480555.9233003,1437805.1328018,NA,FALSE,FALSE,TRUE,FALSE
7579555.9233003,1388305.1328018,NA,FALSE,FALSE,FALSE,TRUE
1045555.9233003,1371805.1328018,NA,FALSE,TRUE,FALSE,FALSE
-6956944.0766997,1355305.1328018,NA,TRUE,FALSE,FALSE,FALSE
-8243944.0766997,1206805.1328018,NA,FALSE,FALSE,TRUE,FALSE
-7484944.0766997,1190305.1328018,NA,FALSE,FALSE,TRUE,FALSE
1062055.9233003,1190305.1328018,NA,FALSE,TRUE,FALSE,FALSE
3867055.9233003,1190305.1328018,NA,FALSE,FALSE,TRUE,FALSE
-6395944.0766997,1173805.1328018,NA,FALSE,FALSE,FALSE,TRUE
4197055.9233003,1140805.1328018,NA,TRUE,FALSE,FALSE,FALSE
-6742444.0766997,1074805.1328018,NA,TRUE,FALSE,FALSE,FALSE
897055.9233003,1074805.1328018,NA,FALSE,FALSE,FALSE,TRUE
-8029444.0766997,1058305.1328018,NA,FALSE,TRUE,FALSE,FALSE
369055.9233003,975805.132801801,NA,TRUE,FALSE,FALSE,FALSE
4098055.9233003,975805.132801801,NA,FALSE,FALSE,TRUE,FALSE
3520555.9233003,959305.132801801,NA,FALSE,TRUE,FALSE,FALSE
-7187944.0766997,926305.132801801,NA,FALSE,TRUE,FALSE,FALSE
-6610444.0766997,909805.132801801,NA,TRUE,FALSE,FALSE,FALSE
3603055.9233003,893305.132801801,NA,FALSE,TRUE,FALSE,FALSE
-7517944.0766997,876805.132801801,NA,FALSE,FALSE,FALSE,TRUE
3091555.9233003,860305.132801801,NA,FALSE,FALSE,FALSE,TRUE
3883555.9233003,794305.132801801,NA,FALSE,FALSE,FALSE,TRUE
-7171444.0766997,695305.132801801,NA,FALSE,FALSE,FALSE,TRUE
-6296944.0766997,695305.132801801,NA,TRUE,FALSE,FALSE,FALSE
-6263944.0766997,695305.132801801,NA,FALSE,TRUE,FALSE,FALSE
699055.9233003,645805.132801801,NA,FALSE,FALSE,TRUE,FALSE
4395055.9233003,645805.132801801,NA,FALSE,TRUE,FALSE,FALSE
-7072444.0766997,596305.132801801,NA,TRUE,FALSE,FALSE,FALSE
-6659944.0766997,596305.132801801,NA,FALSE,FALSE,TRUE,FALSE
4065055.9233003,464305.132801801,NA,FALSE,FALSE,FALSE,TRUE
3157555.9233003,365305.132801801,NA,FALSE,FALSE,FALSE,TRUE
-5422444.0766997,315805.132801801,NA,FALSE,FALSE,TRUE,FALSE
-6230944.0766997,299305.132801801,NA,FALSE,FALSE,FALSE,TRUE
3933055.9233003,233305.132801801,NA,FALSE,FALSE,FALSE,TRUE
-7534444.0766997,150805.132801801,NA,FALSE,TRUE,FALSE,FALSE
3075055.9233003,117805.132801801,NA,TRUE,FALSE,FALSE,FALSE
-6527944.0766997,18805.132801801,NA,TRUE,FALSE,FALSE,FALSE
-6610444.0766997,-14194.867198199,NA,FALSE,FALSE,TRUE,FALSE
3289555.9233003,-30694.867198199,NA,TRUE,FALSE,FALSE,FALSE
3256555.9233003,-47194.867198199,NA,FALSE,TRUE,FALSE,FALSE
-5026444.0766997,-96694.867198199,NA,FALSE,TRUE,FALSE,FALSE
-6626944.0766997,-129694.867198199,NA,FALSE,FALSE,TRUE,FALSE
-6725944.0766997,-162694.867198199,NA,FALSE,FALSE,FALSE,TRUE
3289555.9233003,-195694.867198199,NA,FALSE,FALSE,FALSE,TRUE
-5669944.0766997,-228694.867198199,NA,TRUE,FALSE,FALSE,FALSE
-4844944.0766997,-278194.867198199,NA,FALSE,TRUE,FALSE,FALSE
-5389444.0766997,-294694.867198199,NA,FALSE,FALSE,FALSE,TRUE
-4663444.0766997,-377194.867198199,NA,FALSE,TRUE,FALSE,FALSE
-4366444.0766997,-410194.867198199,NA,FALSE,FALSE,TRUE,FALSE
3619555.9233003,-410194.867198199,NA,FALSE,TRUE,FALSE,FALSE
